priority,category,merchant,mall,city,rating,reviews,avg_price,branches,phone,website,opening_hours,lat,lng,reviews_text,price_mid_raw,price_mid,price_segment,pos_kw_count,neg_kw_count,sentiment_ratio,sentiment_label,top_pos_kw,top_neg_kw,mentions_delivery,geo_zone,bd_priority_score,tier,quadrant
High,Casual Dining,كابون,توب تن,Medina,4.7,1643,,11,,,,24.4937916,39.5827853,صراحة من اجمل تجارب الفطور اللي جربتها في المدينة الاستقبال كان راقي جدا وخصوصا من الموظفة روان اللي كان تعاملها لطيف وا… | زيارتي الخامسه للفطور عندهم احبهم مره ومره المكان حنون ولطيف والستاف كلو يجنن وخدومين وبشوشين دايما ويخدموك بكل حب . غير… | مكان جميل ويفتح النفس.. إستقبال أنيق وراقي.. الطعام لذيذ ونظيف.. وأشكر الأخت الجميلة ذات البسمة الآخاذة روان إضافة رائعة…,,60.0,Mid,6,0,1.0,Positive,"لذيذ, رائع, رائعة",,False,South,74.69,Tier 2,⭐ Star
Medium,Casual Dining,توب تن,توب تن,Medina,4.0,14529,,1,014 835 8111,,"السبت: 8:30 ص – 1:00 ص, الأحد: 8:30 ص – 1:00 ص, الاثنين: 8:30 ص – 1:00 ص, الثلاثاء: 8:30 ص – 1:00 ص, الأربعاء: 8:30 ص – 1:00 ص, الخميس: 8:30 ص – 1:00 ص, الجمعة: 2:00 م – 1:00 ص",24.4805681,39.6108185,توب تن المحل لم يعد بنفس الجوده سابقا الان بضاعه عاديه جدا وبجوده رديئه | المركز موجود على شارع الملك فهد الي نازل على الحرم بعد مجمع مزايا مول المركز متكامل ماشاءالله من حيث الملابس والجزم والا… | قريب من الحرم سعر رخيص من ١٣ ريال تتوفر ملابس أطفال بناطيل جنز تي سرت فساتين ملابس رجالي ملابس رياضه بناطيل منوعه يوجد ك…,,60.0,Mid,0,0,0.5,Mixed,,,False,South,51.13,Tier 2,⚠️ Risky
High,Casual Dining,محمود كباب,توب تن,Medina,4.8,3753,,14,,,,24.4637599,39.6109416,للامانة المطعم اكله رهيب جدا وخاصة الرز الاوزبكي مع الرز اعطيه 100/10 طعم رهيب واسطوري اما من ناحية المنتو بالدجاج كان س… | تقييمي لمطعم كباب محمود في المدينة المنورة بشكل عام كان جيد، وهو مطعم بطابع أوزبكي واضح، وأغلب الزبائن فيه من أوزبكستان،… | مطعم أوزبكي جميل في منطقة متحف وبستان الصافية، طلبنا الطبق الرئيسي في مطعم عبارة عن اللحم والأرز ، لذيذ جداً ، ولكنه قدّ…,,60.0,Mid,2,0,1.0,Positive,"لذيذ, جميل",,False,South,79.0,Tier 1,⭐ Star
Medium,Casual Dining,Sunda Restaurant Al Falah,توب تن,Medina,4.6,268,,2,054 101 1802,https://www.instagram.com/sunda.med,"السبت: 5:00 ص – 12:00 ص, الأحد: 5:00 ص – 12:00 ص, الاثنين: 5:00 ص – 12:00 ص, الثلاثاء: 5:00 ص – 12:00 ص, الأربعاء: 5:00 ص – 12:00 ص, الخميس: 5:00 ص – 12:00 ص, الجمعة: 5:00 ص – 12:00 ص",24.4668882,39.6051587,اكل إندونيسيا جميل جدا حار 🔥 | جمع العاملون رائعون وابتسامتهم تسبق خدمتهم للزبائن. شكرا لأختيار هذا الفريق الرائع | جيد ولكن ليس ممتاز جدا والرقايق المقليه مزيته ا,,60.0,Mid,3,0,1.0,Positive,"رائع, ممتاز, جميل",,False,South,60.51,Tier 2,💎 Hidden Gem
Medium,Casual Dining,Madina bites مطعم لقمة المدينة,توب تن,Medina,4.8,685,,3,,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.461,39.6077053,تجربة رائعة في مطعم لقمة المدينة. الأكل الباكستاني أصيل وطعمه مميز جدًا. النظافة واضحة والخدمة سريعة وتعامل الموظفين راق… | ماتوفقنا معاه لاسف النجمة فقط للكتابة طلبنا منه برياني دجاج ياب لنا عدس وصالونه خضراء قال مافهمت عربي وشفت العامل يتكلم … | طعام جيد جداً وخاصةً جكن كراهي والبرياني حاررررررر والكابتن وليد كان مضياف جدا جداً,,60.0,Mid,5,0,1.0,Positive,"رائع, رائعة, سريع",,False,South,59.37,Tier 2,⭐ Star
High,Casual Dining,Arwa Taiba Restaurant,توب تن,Medina,4.8,1059,,24,,,,24.4565184,39.6155742,اخواني السعوديين المطعم جيد وتعاملهم ممتاز لكن الفلفل ( مع اني قلت له بدون فلفل ) يخليك كنك طالع من تمرين ف الحذر .. ف ل… | مطعم ماكولات ومشروبات روعه الروعه وخدمه ممتازه واكلهم لذيذ جدا جدا وشكرا | ماشاءالله اكلهم لذيذ و يستاهل,,60.0,Mid,3,0,1.0,Positive,"لذيذ, ممتاز, يستاهل",,False,South,76.7,Tier 1,⭐ Star
High,Casual Dining,مطعم الأطباق,توب تن,Medina,3.8,6411,40–80 SAR,6,,,,24.483376,39.6076468,مطعم يستحق الزيارة بشده جميع الاطباق جميله وسريع بالتقديم والاسعار ممتازه جدا جدا | بصراحه كنت زبون عندهم لكن آخر مره … الله يكرم النعمه بس الإيدام كان نيء تكلم موظف العوائل ما يرد عليك الصراحه وانا خارج … | المطعم مميز وقديم ومعروف ويعتبر من افضل المطاعم الباكستانيه او الهنديه .. اختلف اكله شوي .. الخدمه يتأخرو كثير الله يهدي…,60.0,60.0,Mid,4,2,0.67,Mixed,"ممتاز, جميل, سريع","قديم, تأخر",False,South,61.95,Tier 2,⚠️ Risky
High,Casual Dining,سويس باتر,توب تن,Medina,4.7,2515,,22,,,,24.4937023,39.5954409,تجربة جميلة في Swiss Butter. الأكل كان لذيذ والطعم مميز فعلًا، خصوصًا الصوص اللي يعطي نكهة مختلفة. أكثر شيء عجبني خدمة ا… | صراحة مطعم الستيك ما عجبني أبدًا، النكهة تختلف عن فرعهم اللي بجدة. اللحم اللي جاني كان فيه دم رغم إني طلبته ويل دن، وجود… | من أجمل التجارب بصراحة الأجواء مريحة للغاية مع مراعاة البرد وتوفير دفايات النظافة ١٠/١٠ بشاشة الموظفين آسرة للغاية الأكل…,,60.0,Mid,4,0,1.0,Positive,"لذيذ, جميل, جميلة",,False,South,77.78,Tier 1,⭐ Star
Medium,Casual Dining,أرابيسك,توب تن,Medina,3.9,350,,24,,,,24.4723844,39.6116222,المكان حلو والاكلات اغلب الاصناف حلوه اصناف قليله مااعجبتني هادي ومريح بس صوت الصحون والملاعق يزعجك شوي السعر غالي شوي م… | لايحتاج تعليق او تفصيل شغل جبار ولذيذ جدا اشكر الأخ محمد عبدالجبار | افطار جميل و صباح أجمل في مكان راقي و طعام افطار بذوق سياحي مترف ( بوفيه مفتوح متنوع )🇰🇼🌹,,60.0,Mid,4,1,0.8,Positive,"لذيذ, جميل, مريح",غالي,False,South,62.18,Tier 2,❌ Weak
High,Casual Dining,مطعم الجمیل,توب تن,Medina,4.8,9824,20–40 SAR,24,,,,24.4918705,39.6100572,"After a long day at Masjid-e-Nabawi, my family and I visited this restaurant following a positive review from an influen… | مطعم جميل على اسمة ونشكر الاخ جعفر لتعاونه وخدمته واخلاقه العاليه | الله يكرم نعمه طلبت ايدام مافي الا عظم و شحم في ريحه مو طبيعي ما يتكرر زياره",30.0,30.0,Budget,2,0,1.0,Positive,"جميل, كرم",,False,South,80.76,Tier 1,⭐ Star
High,Casual Dining,طٌعمة,توب تن,Medina,4.4,4605,,6,058 325 0000,https://linktr.ee/Tomah.sa?utm_source=linktree_profile_share&ltsid=ff5d7851-1331-4983-a8a8-66214bceee5f,"السبت: 6:00 ص – 2:00 ص, الأحد: 6:00 ص – 12:00 ص, الاثنين: 6:00 ص – 12:00 ص, الثلاثاء: 6:00 ص – 12:00 ص, الأربعاء: 6:00 ص – 12:00 ص, الخميس: 6:00 ص – 2:00 ص, الجمعة: 6:00 ص – 2:00 ص",24.4402965,39.6629878,جينا نتغدى في المطعم، المكان جيد والأكل بشكل عام كان كويس. لكن للأسف كان في عدة أطباق كنا متحمسين نجربها وما كانت متوفرة… | الاكل عموما جميل ويتكرر مره ثانيه لكن الاسعار تعتبر مرتفعه مقابل مايقدم والخدمة تحتاج تحسين الاكل مااتاخر لكن التاخير كا… | المكان تحفة ورايق ينفع للجلسة بأي وقت واللأكل يبيض الوجه. جربت منيو الغداء وكان ممتاز . الطاولة والأواني نظيفة، السليق خ…,,60.0,Mid,4,0,1.0,Positive,"ممتاز, جميل, نظيف",,False,South,74.3,Tier 2,⭐ Star
Medium,Casual Dining,مطعم المضيف,توب تن,Medina,3.4,647,40–80 SAR,19,,,,24.4714661,39.607851,صراحه كنا متحمسين أنا و صديقتي نروحو و لكن بعد ماشفنا تعامل مسؤولين المطعم و أسلوبهم الغير مهني والغير مناسب لطبيعة العم… | المنطقة المركزية في المدينة المنورة ( بكل امانة ) ، تفتقر للمطاعم التي تؤدي ( وجبات الرز اللذيذة و النظيفة ) .. مطعم الم… | الاكل مقبول والكمية لابأس بها ولكن السيرفس سيء حتى المنيو ليس كل ما ماهو موجود بالمنيو متوفر ايضا طلبنا تندوري سمك ويابو…,60.0,60.0,Mid,4,1,0.8,Positive,"لذيذ, لذيذة, نظيف",سيء,False,South,60.8,Tier 2,⚠️ Risky
High,Casual Dining,مطعم ديسي هت,توب تن,Medina,4.7,3756,,15,,,,24.4580979,39.6130426,نصيحة بلاش المطعم ده ولا يغرك التقييم المرتفع ده والله أسوء مطعم أكلت فيه و اسوء خدمة .بعده اتعلمت إني اقرأ المراجعات ال… | مطعم سيئ بداية من التقديم اللي طول فوق 35 دقيقة والمطعم فاضي ما كان فيه غيري وكان مجرد الطلب طبق واحد، وثانياً الأكل غير… | مطعم متميز وقريب من المسجد النبوي,,60.0,Mid,1,1,0.5,Mixed,متميز,قديم,False,South,71.01,Tier 2,⭐ Star
Low,Casual Dining,مطعم أفنان,توب تن,Medina,4.5,55,,1,059 114 2269,,"السبت: 5:00 ص – 11:00 م, الأحد: 5:00 ص – 11:00 م, الاثنين: 5:00 ص – 11:00 م, الثلاثاء: 5:00 ص – 11:00 م, الأربعاء: 5:00 ص – 11:00 م, الخميس: 5:00 ص – 11:00 م, الجمعة: 5:00 ص – 11:00 م",24.4798759,39.6127065,مطعم جيد ونظيف والأسعار جيدة جدا | Mashallah | الحمد لله. تمام. لا بد من تجربة كراهي لحم الضأن! تناولناه مع أرز برياني، وكان لحم الضأن مع نان. سعره مناسب. استقللتُ الم…,,60.0,Mid,1,0,1.0,Positive,نظيف,,False,South,45.99,Tier 3,💎 Hidden Gem
Medium,Casual Dining,مطعم بابا تِكا المدينة,توب تن,Medina,3.9,1739,40–80 SAR,3,,,,24.4831099,39.6075998,للاسف جداً جداً ماعجبني لا انا ولا العيال مدري ليه تقيمه ٤ اول زياره لنا للمدينه وجوعانين وبالاخير ماقدرنا ناكل الا الخب… | مطعم سيء جداً بالنسبة للأكل ولا أنصح به وبشده، نظافة المكان جيدة جداً وقبل الدخول استقبلني اخد العمال وفتح الباب اما بال… | تعاملهم رائع.. مكان نظيف ومرتب.. سرعة بتحضير الطعام.. أخذت من عندهم دجاج جلفريزي يكفي شخصين وطعمه طيب.,60.0,60.0,Mid,3,2,0.6,Mixed,"رائع, نظيف, أنصح","سيء, لا أنصح",False,South,50.56,Tier 2,⚠️ Risky
High,Casual Dining,مطعم شنواري الباكستاني,توب تن,Medina,4.3,1172,,7,,,,24.490514,39.6119417,طلبت لحم كراهي وصلني دجاج طلبت سلطه وصلوها بكيس وكلها خيار وجزر الحمد لله بس لا احد يطلب من تطبيقات ولا يستحق تجربتين | طلبت منهم برياني و كراهي دجاج بكل ذمه الطلب عباره عن ملح بالرز و ملح كراهي واكدت عليهم عدم اضافه فلفل وقال تمام ولما جاء… | مطعم لذيذ وتعامل الموظفين جداً لبق. ومهتمين بالزبون وخدمته. اعجبوني صراحه في تعاملهم ونطافه المطعم والجلسات والاكل لذيذ.…,,60.0,Mid,1,0,1.0,Positive,لذيذ,,False,South,67.46,Tier 2,⭐ Star
Medium,Casual Dining,Baba Nihari,توب تن,Medina,4.8,298,,2,050 174 9717,,"السبت: 4:00 ص – 12:00 ص, الأحد: 4:00 ص – 12:00 ص, الاثنين: 4:00 ص – 12:00 ص, الثلاثاء: 4:00 ص – 12:00 ص, الأربعاء: 4:00 ص – 12:00 ص, الخميس: 4:00 ص – 12:00 ص, الجمعة: 4:00 ص – 12:00 ص",24.4654754,39.6054472,"Chef Asif Ali chakn karo chakn bayne | لديهم خيار واحد وهو المندي، جيد لمن لا يريد البعد عن الحرم، ولكنه غالٍ جدًا فسعر ربع الحبة بسعر نصف حبة وزيادة، وطعمه جي… | MashaAllah Tabarakallah..Nyaman, Alhamdulillah",,60.0,Mid,0,0,0.5,Mixed,,,False,South,49.2,Tier 3,💎 Hidden Gem
High,Casual Dining,الرومانسية -المدينة المنورة | Al romansiah,توب تن,Medina,4.2,22175,40–80 SAR,12,,,,24.470017,39.641646,صراحة اسوئ مطعكم فرع الاحساء والدمام غير بكثير الخدمة في الافرع الباقية ممتازة لكن فرغع المدينة المنورة لا انصح به اول ش… | بسم الله ما شاء الله مطاعم الرومانسية ذو سلسله بالافرع يمتاز بتنوع بالجلسات والمواقف لسيارات الخيارات عنده كثيرة ومتنوعه… | حجم الدجاج صغير اعتقد حجم الدجاجة ٦٠٠ ج او اقل جودة الطعام اقل بكتير من المتوقع سواء الدجاج او الارز اما البامية والملوخ…,60.0,60.0,Mid,4,1,0.8,Positive,"ممتاز, ممتازة, جودة",صغير,False,South,75.09,Tier 1,⚠️ Risky
High,Cafes,توب كافي,توب تن,Medina,4.0,1173,,5,058 135 9449,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4819373,39.5387369,جيت المكان مرتين عشان اتابع مبارتين الليلة ال2 كانت الشاشة تعرض مباراة مسجلة طلبت من الموظفة أن نبغى مباراة الاتحاد قالت… | الاجواء جدا ممتازة وجلسات حلوه والخدمة ممتازة من الأستاذة ريناد محترمه فرفوشه جدا م شاءلله ابتسامتها ما تفارق وجهها المك… | صراحة الأجواء روعة و الخدمة اكثر من ممتازه و المعسل خرافي و الأسعار حلوة . شكر خاص للموظفة ريناد قمة في التعامل كان عندي…,,60.0,Mid,3,0,1.0,Positive,"ممتاز, ممتازة, خدمة ممتازة",,False,South,63.65,Tier 2,⚠️ Risky
Low,Cafes,توب كافي 2,توب تن,Medina,4.2,201,,1,058 135 9449,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4965084,39.5653909,صراحة انصدمت يعني الفرع الي فالسلام ممتاز وجربناه كذا مرة وجينا على اساس نفسه ولاكن لو في تقييم تحت هل تقييم حطيته لا خد… | صراحه شي رهيب مقهئ راقي ونضيف واشكرً الاخ صلاح استقباله للعملاء باخلاقه طيبه وجه بشوش وماشاءالله يضبط شيشه افضل من مقاهي… | مكان جدا رايق وجميل واراقيل جدا جميلة وموظفين كلهم محترمين وخلوقين واحب اشكر الموظف رنا على القهوة جدا جميلة واشكر الويت…,,60.0,Mid,3,0,1.0,Positive,"ممتاز, جميل, جميلة",,False,South,46.83,Tier 3,❌ Weak
High,Cafes,تيام كافيه | TYAM CAFE,توب تن,Medina,4.6,606,,12,,,,24.4632502,39.6652547,ما شاء الله تبارك الرحمن 🌿 كافي تيمام مكان راقٍ يلفت الانتباه من أول لحظة، يجمع بين الأصالة والذوق العصري بهوية جميلة وم… | ‏مدينة الجمال مدينة الحبيب مدينة القهوة اللذيذة تفاجأت في هذا المكان الجميل في زيارتي للمدينة المنورة ‏طلبنا صنفين من ال… | المكان رائع و هادي ، الخدمة ممتازة زيارتي كانت في العصر المكان مع ضوء الشمس كان شيء جميييل 🤩 القهوة لذيذة التشيز كيك بال…,,60.0,Mid,8,0,1.0,Positive,"لذيذ, لذيذة, رائع",,False,South,73.53,Tier 2,⭐ Star
High,Cafes,مقهى ومحمصة كفة - فرع الدائري,توب تن,Medina,4.5,5589,40–80 SAR,26,,,,24.4828716,39.6525816,جيتهم امس الصباح فرع الدائري اخدت لبنتي ساندوتش حلومي اخذتها ومشيت البنت وهيا بتاكل طلعت القزازه من فمها الحمدلله ربنا ل… | من افضل الكافيهيات الموجوده في المدينه لدرجه اني اجي من الشرقيه ومااروح الا ذا الكافي الطلب كان كرانشي كيك 10/10 لذيذه و… | تعامل الموظفين مرا كويس والقهوه موزونه والحلى لذيذ الفرع واسع وجميل ماشاءالله بالتوفيق,60.0,60.0,Mid,2,0,1.0,Positive,"لذيذ, جميل",,False,South,78.23,Tier 1,⭐ Star
High,Cafes,الينا كافيه ALINA CAFE - سلطانة,توب تن,Medina,4.3,559,,27,,,,24.4852538,39.5748987,"تقريباً سار الكافيه المفضل عندي بلس كل شي عندهم طعم حقيقي جربت كل منتج عندهم وكله حقه معاه تشيز البقلاوة رهييييب بس اغلب… | المكان جميل جدا وفيه طاقة روقان عالية الستور مليء بتشكيلة اكواب ومقات جيدة الموظفيين قمه في الاحترام القهوة لذيذة والحلى… | مكان انيق ورائع، لاتفوتكم الطلبات اللي طلبناها خصوصاً ""مقلوبة الينا"" 😋و الدبل اسبريسو بن اثيوبي عالم ثاني ☕️، شكراً جزيل…",,60.0,Mid,4,0,1.0,Positive,"لذيذ, لذيذة, رائع",,False,South,73.04,Tier 2,⭐ Star
Medium,Cafes,مقهى دروب,توب تن,Medina,4.5,187,,5,055 667 0211,,"السبت: 4:00 م – 1:00 ص, الأحد: 7:00 ص – 1:00 ص, الاثنين: 7:00 ص – 1:00 ص, الثلاثاء: 7:00 ص – 1:00 ص, الأربعاء: 7:00 ص – 1:00 ص, الخميس: 7:00 ص – 1:00 ص, الجمعة: 4:00 م – 1:00 ص",24.4553534,39.6556623,"جربت عندهم كابتشينو مضبوط محل هادي ورايق يستحق الزيارة"" ونصيحة افضل يكون فيه ويتر للطلبات | تعامل موظف الاستقبال مميز. القهوة جيدة اخذت قهوة اليوم حارة وقهوة اليوم باردة. كلها جيدة. المكان ماهو مرة كبير ولكن التص… | من اجمل واهدى الاماكن في المقاهي ويوجد اقسام للخصوصيه للقراءة والكتابه والاجتماعات وايضا اماكن داخل المقهى واماكن في اله…",,60.0,Mid,0,2,0.0,Negative,,"بارد, باردة",False,South,50.32,Tier 2,💎 Hidden Gem
High,Cafes,ساردو,توب تن,Medina,4.7,373,,23,,,,24.4871496,39.5763944,الله على اللذاذه 👍😋 أول مره أجربه وبالصدفه وماندمت على أي صنف أخذناه خصوصا كيكة الزنجبيل والتشيز بأنواعه (فاخر ومو عادي)… | الحلى عندهم لذيذ بس يعتبر غالي قهوه اليوم البارده طعمها وسط مو مره بس يعتبر من اماكن الحلى اللذيذه الجلسات مررره ضيقه لا… | مكان بهذا المستوى وفالاخير م عندهم صرف فلوس 🙂 مو منطق كل مكان عندهم صرف طالما عندهم منتجات يشتريها الزبون . الشي الثاني …,,60.0,Mid,1,3,0.25,Negative,لذيذ,"غالي, بارد, ضيق",False,South,63.05,Tier 2,💎 Hidden Gem
Medium,Cafes,خان عطره,توب تن,Medina,4.3,189,,3,055 645 4258,,"السبت: 4:00 م – 2:00 ص, الأحد: 4:00 م – 2:00 ص, الاثنين: 4:00 م – 2:00 ص, الثلاثاء: 4:00 م – 2:00 ص, الأربعاء: 4:00 م – 2:00 ص, الخميس: 4:00 م – 2:00 ص, الجمعة: 4:00 م – 2:00 ص",24.4580989,39.6023733,اول شي المكان كله لطيف وجميل بس ينفع باجواء البرد لانه اغلبه مكشوف .. عطرة يفوز بافضل محل شاي مرا طعم رهيب تحس هذا الشاي… | بصراحة المكان جميل و رايق وجلساته حلوة في الهواء الطلق وفيه رذاذ ماي يلطف الجو .. يقدموا الشاي و القهوة والمشروبات البار… | مساء الخير زيارتي كانت مساء كذا عاد عطره حبيب اهلي موطنهم سرهم فيه ومو عارفه ليه ماشاء الله الله يحفظهم المهم المكان مره…,,60.0,Mid,1,0,1.0,Positive,جميل,,False,South,54.53,Tier 2,💎 Hidden Gem
Medium,Cafes,تالا الشاورما,توب تن,Medina,5.0,3,,3,055 881 0109,,,24.4672132,39.6024496,اول مره اجربهم ورب البيت مااعرفهم اعطوني الجارات الرقم وطلبت اليوم جدا لذيذ الاكل حاار طازه وعندهم عروض شكرا مطعم تالا ا…,,60.0,Mid,1,0,1.0,Positive,لذيذ,,False,South,50.99,Tier 2,💎 Hidden Gem
Low,Cafes,INDAIN KERALA RESTAURANT,توب تن,Medina,,0,,2,057 114 2564,,,24.4672132,39.6024496,,,60.0,Mid,0,0,0.5,Mixed,,,False,South,,Tier 3,Unknown
High,Cafes,عالم أحلى مانجو,توب تن,Medina,3.8,1113,40–80 SAR,5,,,,24.4855889,39.6051463,جربت شاورما شامي من عندهم الحمد لله .. لم تحظى ب اعجابي الكامل الحشوة كان ممكن الكمية تكون افضل الخضار زايد ومافي نكهة ث… | أخذت منهم ساندويتش شاورما وعصير مانجو ، صراحة الطعم جدا لذيذ ، والعصير طازج ويسرسح بهالصيف بدون اضافات ، الصوصات اللي دا… | للأمانة انه من الذ الشورما اللي اكلتها بحياتي لذيذه و انصحكم ب المحمره تجي سبايسي خفيف رهيبه و العربي لذييذ,60.0,60.0,Mid,2,0,1.0,Positive,"لذيذ, طازج",,False,South,62.56,Tier 2,⚠️ Risky
Low,Cafes,Check Check City,توب تن,Medina,,0,,2,056 107 4978,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4672132,39.6024496,,,60.0,Mid,0,0,0.5,Mixed,,,False,South,,Tier 3,Unknown
Medium,Cafes,Fast food restaurant Medina,توب تن,Medina,4.4,7,,5,054 956 7607,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4660604,39.6031547,أسوأ طعام على الإطلاق. لم أجد أي دجاج داخل الشاورما، بل كانت مليئة بالبطاطس المقلية. لا تنخدعوا بهذه الحيلة! | طعام جيد جدًا | خدمة ممتازة,,60.0,Mid,3,0,1.0,Positive,"ممتاز, ممتازة, خدمة ممتازة",,False,South,51.56,Tier 2,💎 Hidden Gem
Medium,Cafes,Medina kareem resturaunt مطعم المدينة كريم,توب تن,Medina,4.8,26,,5,,,,24.4798953,39.6067534,أفضل مطعم باكستاني في المدينة المنورة! من الإفطار إلى الغداء والعشاء، كل طبق غني بالنكهات الأصيلة. الطعم والجودة والتنوع… | لا بد من تجربة الكادو الأبيض مع ذلك، كل شيء رائع هنا | طعام وخدمة رائعان. أنصح بشدة بهذا المكان. زرتُه مع عائلتي في 1 يناير 2025، وقد أعجب الجميع به. لا تفوتوا تجربته!,,60.0,Mid,5,0,1.0,Positive,"رائع, أنصح, أفضل",,False,South,55.78,Tier 2,💎 Hidden Gem
High,Fast Food,البيك,توب تن,Medina,4.4,49005,20–40 SAR,46,,,,24.4638988,39.616145,فرع وما فيها العروض ؟ تروح الظهر مافي العصر مافيه المغرب مافيه الليل مافيه متى يكون موجود؟ وش فرقت عن المحلات الصغيره ال… | مطعم مميز بخصوص الخدمه مميزه وجبات المسحب والبروست والجمبري لديهم ممتاز يفضل الاكل وهو ساخن يعتبر من افضل مطاعم المنطقة | فرع كبير جداً والخدمة سرييعة مع انه كان في دور طويل الا انه لم يستغرق الامر اكثر من 20 دقيقة,30.0,30.0,Budget,1,1,0.5,Mixed,ممتاز,صغير,False,South,74.19,Tier 2,⭐ Star
High,Fast Food,كرك اكسبريس,توب تن,Medina,4.1,1290,,11,,,,24.4715978,39.6104004,أسوأ تجربة ممكنة! طلبت شاورما وبرياني، وانصدمت لما لقيت شعرة داخل بطاطس الشاورما! شيء مقزز وغير مقبول نهائيًا ويدل على إ… | شاي ☕ الكرك ممتاز ب 5 ريال عصير برتقال 🍊 فريش لذيذ 😋 ب 15 ريال | تجربتي بمطعم كاراك كانت كتير حلوة. الخدمة لطيفة ومحترمة، والأكل طيب كتير. الشاورما كانت زاكية، حتى لو نكهتها غير عن الشا…,,60.0,Mid,2,0,1.0,Positive,"لذيذ, ممتاز",,False,South,71.25,Tier 2,⚠️ Risky
Medium,Fast Food,ليندا للوجبات السريعة,توب تن,Medina,4.0,52,,5,,,"السبت: 8:00 ص – 12:00 ص, الأحد: 8:00 ص – 12:00 ص, الاثنين: 8:00 ص – 12:00 ص, الثلاثاء: 8:00 ص – 12:00 ص, الأربعاء: 8:00 ص – 12:00 ص, الخميس: 8:00 ص – 12:00 ص, الجمعة: 8:00 ص – 12:00 ص",24.4655876,39.6059385,مطعم صغير للوجبات الخارجية قريب جدا من الحرم النبوي بالمدينة المنورة نظيف واسعاره معقولة جدا وخدمات جيدة وبه خيارات جيدة… | الله يعز النعمة طعم الشاورما سيئ جدا لولا للوصول المتأخر والاضطرار ما أخذنا وماقدرنا ناكلها | كل الأسعار مرتفعة فوق التسعيرو,,60.0,Mid,1,4,0.2,Negative,نظيف,"صغير, متأخر, أسعار مرتفعة",False,South,41.01,Tier 3,❌ Weak
Medium,Fast Food,Raad fast food and restaurant,توب تن,Medina,5.0,16,,3,,,,24.4722293,39.6057339,اكل جيدوصوصات في قمة روعه روعه شاورما من أفضل برياني ممتازة ممتازة عيشو تجربه مع بوفيه راد | هذا مطعم كويس بيلاني كويس كل حاجه في زوينه | خدمة رائعة شباب في المستوى,,60.0,Mid,5,0,1.0,Positive,"رائع, رائعة, ممتاز",,False,South,53.63,Tier 2,💎 Hidden Gem
Low,Fast Food,Buffet fatima,توب تن,Medina,3.8,37,,5,,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4690455,39.6038243,النظافة مش حالك المحل هذا مثل الميتة لا يأكل منه إلا المضطر | الاكل حلو اوي في هذا المطعم | ممتاز Kebab shawarma,,60.0,Mid,1,0,1.0,Positive,ممتاز,,False,South,46.4,Tier 3,❌ Weak
Low,Fast Food,Wateen Al Madinah Fast Food Restaurant,توب تن,Medina,3.0,28,,5,054 700 1563,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4698476,39.6041599,زفت جابلي حساسية و لزوجتي الاكل غير نظيف تماما | بالتوفيق لهم | جيد نوعا ما,,60.0,Mid,1,0,1.0,Positive,نظيف,,False,South,41.91,Tier 3,❌ Weak
